data;fazenda;almoco;janta;cafe;lanche;vlrAlmoco;vlrJanta;vlrCafe;vlrLanche;total
07/03/2021;Santa Elisa;85;71;90;0;13,5;13,5;6;6;2646
07/03/2021;Silo;16;2;30;0;13,5;13,5;6;6;423
08/03/2021;Santa Elisa;189;95;141;8;13,5;13,5;6;6;4728
08/03/2021;Silo;30;14;49;0;13,5;13,5;6;6;888
09/03/2021;Santa Elisa;193;111;151;8;13,5;13,5;6;6;5058
09/03/2021;Silo;43;15;49;0;13,5;13,5;6;6;1077
10/03/2021;Santa Elisa;201;99;155;7;13,5;13,5;6;6;5022
10/03/2021;Silo;40;11;49;0;13,5;13,5;6;6;982,5
11/03/2021;Santa Elisa;211;132;163;7;13,5;13,5;6;6;5650,5
11/03/2021;Silo;47;5;43;0;13,5;13,5;6;6;960
12/03/2021;Santa Elisa;220;134;179;7;13,5;13,5;6;6;5895
12/03/2021;Silo;37;8;44;0;13,5;13,5;6;6;871,5
13/03/2021;Santa Elisa;194;102;173;9;13,5;13,5;6;6;5088
13/03/2021;Silo;18;5;27;0;13,5;13,5;6;6;472,5
14/03/2021;Santa Elisa;112;107;104;0;13,5;13,5;6;6;3580,5
14/03/2021;Silo;7;6;12;0;13,5;13,5;6;6;247,5
15/03/2021;Santa Elisa;181;115;147;9;13,5;13,5;6;6;4932
15/03/2021;Silo;34;11;40;0;13,5;13,5;6;6;847,5
16/03/2021;Santa Elisa;207;124;174;7;13,5;13,5;6;6;5554,5
16/03/2021;Silo;36;10;39;0;13,5;13,5;6;6;855
17/03/2021;Santa Elisa;234;118;197;8;13,5;13,5;6;6;5982
17/03/2021;Silo;33;13;38;0;13,5;13,5;6;6;849
18/03/2021;Santa Elisa;226;122;188;8;13,5;13,5;6,5;6,5;5972
18/03/2021;Silo;40;10;37;0;13,5;13,5;6,5;6,5;915,5
19/03/2021;Santa Elisa;200;91;161;8;13,5;13,5;6,5;6,5;5027
19/03/2021;Silo;34;6;34;0;13,5;13,5;6,5;6,5;761
20/03/2021;Santa Elisa;139;77;147;8;13,5;13,5;6,5;6,5;3923,5
20/03/2021;Silo;16;2;18;0;13,5;13,5;6,5;6,5;360
21/03/2021;Santa Elisa;77;77;82;0;13,5;13,5;6,5;6,5;2612
21/03/2021;Silo;10;5;10;0;13,5;13,5;6,5;6,5;267,5
22/03/2021;Santa Elisa;196;137;175;9;13,5;13,5;6,5;6,5;5691,5
22/03/2021;Silo;34;7;34;0;13,5;13,5;6,5;6,5;774,5
23/03/2021;Santa Elisa;248;153;204;11;13,5;13,5;6,5;6,5;6811
23/03/2021;Silo;44;9;44;0;13,5;13,5;6,5;6,5;1001,5
24/03/2021;Santa Elisa;249;159;226;10;13,5;13,5;6,5;6,5;7042
24/03/2021;Silo;55;6;50;0;13,5;13,5;6,5;6,5;1148,5
25/03/2021;Santa Elisa;261;160;223;10;13,5;13,5;6,5;6,5;7198
25/03/2021;Silo;58;12;54;0;13,5;13,5;6,5;6,5;1296
26/03/2021;Santa Elisa;277;140;232;10;13,5;13,5;6,5;6,5;7202,5
26/03/2021;Silo;54;8;50;0;13,5;13,5;6,5;6,5;1162
27/03/2021;Santa Elisa;247;115;220;9;13,5;13,5;6,5;6,5;6375,5
27/03/2021;Silo;32;9;28;0;13,5;13,5;6,5;6,5;735,5
28/03/2021;Santa Elisa;153;97;128;0;13,5;13,5;6,5;6,5;4207
28/03/2021;Silo;8;5;6;0;13,5;13,5;6,5;6,5;214,5
29/03/2021;Santa Elisa;221;140;184;11;13,5;13,5;6,5;6,5;6141
29/03/2021;Silo;44;8;50;0;13,5;13,5;6,5;6,5;1027
30/03/2021;Santa Elisa;228;142;200;12;13,5;13,5;6,5;6,5;6373
30/03/2021;Silo;62;6;49;0;13,5;13,5;6,5;6,5;1236,5
31/03/2021;Santa Elisa;240;137;207;9;13,5;13,5;6,5;6,5;6493,5
31/03/2021;Silo;51;7;49;0;13,5;13,5;6,5;6,5;1101,5
01/04/2021;Santa Elisa;210;83;182;12;13,5;13,5;6,5;6,5;5216,5
01/04/2021;Silo;50;5;49;0;13,5;13,5;6,5;6,5;1061
02/04/2021;Santa Elisa;91;63;118;6;13,5;13,5;6,5;6,5;2885
02/04/2021;Silo;6;7;12;0;13,5;13,5;6,5;6,5;253,5
03/04/2021;Santa Elisa;121;71;131;6;13,5;13,5;6,5;6,5;3482,5
03/04/2021;Silo;23;7;12;0;13,5;13,5;6,5;6,5;483
04/04/2021;Santa Elisa;81;69;73;0;13,5;13,5;6,5;6,5;2499,5
04/04/2021;Silo;17;1;27;0;13,5;13,5;6,5;6,5;418,5
05/04/2021;Santa Elisa;233;137;185;16;13,5;13,5;6,5;6,5;6301,5
05/04/2021;Silo;64;16;47;0;13,5;13,5;6,5;6,5;1385,5
06/04/2021;Santa Elisa;211;167;245;6;13,5;13,5;6,5;6,5;6734,5
06/04/2021;Silo;70;15;69;0;13,5;13,5;6,5;6,5;1596
07/04/2021;Santa Elisa;232;166;211;8;13,5;13,5;6,5;6,5;6796,5
07/04/2021;Silo;81;18;68;0;13,5;13,5;6,5;6,5;1778,5
08/04/2021;Santa Elisa;253;168;195;10;13,5;13,5;6,5;6,5;7016
08/04/2021;Silo;76;18;76;0;13,5;13,5;6,5;6,5;1763
09/04/2021;Santa Elisa;218;187;235;9;13,5;13,5;6,5;6,5;7053,5
09/04/2021;Silo;71;16;74;0;13,5;13,5;6,5;6,5;1655,5
10/04/2021;Santa Elisa;232;174;224;10;13,5;13,5;6,5;6,5;7002
10/04/2021;Silo;48;21;49;0;13,5;13,5;6,5;6,5;1250
11/04/2021;Santa Elisa;134;142;195;0;13,5;13,5;6,5;6,5;4993,5
11/04/2021;Silo;21;17;25;0;13,5;13,5;6,5;6,5;675,5
12/04/2021;Santa Elisa;252;178;212;9;13,5;13,5;6,5;6,5;7241,5
12/04/2021;Silo;63;15;65;0;13,5;13,5;6,5;6,5;1475,5
13/04/2021;Santa Elisa;249;194;232;9;13,5;13,5;6,5;6,5;7547
13/04/2021;Silo;70;17;62;0;13,5;13,5;6,5;6,5;1577,5
14/04/2021;Santa Elisa;311;204;253;10;13,5;13,5;6,5;6,5;8662
14/04/2021;Silo;72;12;59;0;13,5;13,5;6,5;6,5;1517,5
15/04/2021;Santa Elisa;289;165;219;11;13,5;13,5;6,5;6,5;7624
15/04/2021;Silo;72;10;60;0;13,5;13,5;6,5;6,5;1497
16/04/2021;Santa Elisa;292;157;235;10;13,5;13,5;6,5;6,5;7654
16/04/2021;Silo;73;15;60;0;13,5;13,5;6,5;6,5;1578
17/04/2021;Santa Elisa;238;166;249;15;13,5;13,5;6,5;6,5;7170
17/04/2021;Silo;34;13;46;0;13,5;13,5;6,5;6,5;933,5
18/04/2021;Santa Elisa;185;174;179;0;13,5;13,5;6,5;6,5;6010
18/04/2021;Silo;30;4;28;0;13,5;13,5;6,5;6,5;641
19/04/2021;Santa Elisa;296;203;241;14;13,5;13,5;6,5;6,5;8394
19/04/2021;Silo;47;10;62;0;13,5;13,5;6,5;6,5;1172,5
20/04/2021;Santa Elisa;297;225;272;16;13,5;13,5;6,5;6,5;8919
20/04/2021;Silo;96;12;99;0;13,5;13,5;6,5;6,5;2101,5
21/04/2021;Santa Elisa;317;237;254;14;13,5;13,5;6,5;6,5;9221
21/04/2021;Silo;75;10;106;0;13,5;13,5;6,5;6,5;1836,5
22/04/2021;Santa Elisa;304;233;280;14;13,5;13,5;6,5;6,5;9160,5
22/04/2021;Silo;102;13;99;0;13,5;13,5;6,5;6,5;2196
23/04/2021;Santa Elisa;321;244;292;14;13,5;13,5;6,5;6,5;9616,5
23/04/2021;Silo;75;13;89;0;13,5;13,5;6,5;6,5;1766,5
24/04/2021;Santa Elisa;341;225;280;15;13,5;13,5;6,5;6,5;9558,5
24/04/2021;Silo;69;14;62;0;13,5;13,5;6,5;6,5;1523,5
25/04/2021;Santa Elisa;225;204;261;0;13,5;13,5;6,5;6,5;7488
25/04/2021;Silo;27;11;40;0;13,5;13,5;6,5;6,5;773
26/04/2021;Santa Elisa;343;237;279;15;13,5;13,5;6,5;6,5;9741
26/04/2021;Silo;57;13;69;0;13,5;13,5;6,5;6,5;1393,5
27/04/2021;Santa Elisa;393;232;310;15;13,5;13,5;6,5;6,5;10550
27/04/2021;Silo;58;15;68;0;13,5;13,5;6,5;6,5;1427,5
28/04/2021;Santa Elisa;364;235;335;17;13,5;13,5;6,5;6,5;10374,5
28/04/2021;Silo;69;13;57;0;13,5;13,5;6,5;6,5;1477,5
29/04/2021;Santa Elisa;376;257;311;17;13,5;13,5;6,5;6,5;10677,5
29/04/2021;Silo;79;16;60;7;13,5;13,5;6,5;6,5;1718
30/04/2021;Santa Elisa;380;223;339;22;13,5;13,5;6,5;6,5;10487
30/04/2021;Silo;60;10;59;2;13,5;13,5;6,5;6,5;1341,5
01/05/2021;Santa Elisa;274;192;277;21;13,5;13,5;6,5;6,5;8228
01/05/2021;Silo;32;11;46;3;13,5;13,5;6,5;6,5;899
02/05/2021;Santa Elisa;199;178;189;10;13,5;13,5;6,5;6,5;6383
02/05/2021;Silo;15;6;34;0;13,5;13,5;6,5;6,5;504,5
03/05/2021;Santa Elisa;319;221;278;21;13,5;13,5;6,5;6,5;9233,5
03/05/2021;Silo;60;20;53;7;13,5;13,5;6,5;6,5;1470
04/05/2021;Santa Elisa;403;255;340;22;13,5;13,5;6,5;6,5;11236
04/05/2021;Silo;75;27;63;10;13,5;13,5;6,5;6,5;1851,5
05/05/2021;Santa Elisa;373;239;355;24;13,5;13,5;6,5;6,5;10725,5
05/05/2021;Silo;100;23;61;10;13,5;13,5;6,5;6,5;2122
06/05/2021;Santa Elisa;332;241;318;22;13,5;13,5;6,5;6,5;9945,5
06/05/2021;Silo;99;20;65;10;13,5;13,5;6,5;6,5;2094
07/05/2021;Santa Elisa;322;220;304;23;13,5;13,5;6,5;6,5;9442,5
07/05/2021;Silo;83;18;61;7;13,5;13,5;6,5;6,5;1805,5
08/05/2021;Santa Elisa;282;157;287;23;13,5;13,5;6,5;6,5;7941,5
08/05/2021;Silo;54;12;51;7;13,5;13,5;6,5;6,5;1268
09/05/2021;Santa Elisa;199;170;162;0;13,5;13,5;6,5;6,5;6034,5
09/05/2021;Silo;24;9;24;2;13,5;13,5;6,5;6,5;614,5
10/05/2021;Santa Elisa;296;200;298;23;13,5;13,5;6,5;6,5;8782,5
10/05/2021;Silo;63;14;56;7;13,5;13,5;6,5;6,5;1449
11/05/2021;Santa Elisa;314;184;286;23;13,5;13,5;6,5;6,5;8731,5
11/05/2021;Silo;70;19;59;12;13,5;13,5;6,5;6,5;1663
12/05/2021;Santa Elisa;305;201;284;17;13,5;13,5;6,5;6,5;8787,5
12/05/2021;Silo;72;15;60;8;13,5;13,5;6,5;6,5;1616,5
13/05/2021;Santa Elisa;335;219;204;17;13,5;13,5;6,5;6,5;8915,5
13/05/2021;Silo;79;27;57;17;13,5;13,5;6,5;6,5;1912
14/05/2021;Santa Elisa;280;186;293;19;13,5;13,5;6,5;6,5;8319
14/05/2021;Silo;92;24;62;14;13,5;13,5;6,5;6,5;2060
15/05/2021;Santa Elisa;233;165;254;18;13,5;13,5;6,5;6,5;7141
15/05/2021;Silo;61;18;55;6;13,5;13,5;6,5;6,5;1463
16/05/2021;Santa Elisa;164;164;174;2;13,5;13,5;6,5;6,5;5572
16/05/2021;Silo;29;7;26;2;13,5;13,5;6,5;6,5;668
17/05/2021;Santa Elisa;303;198;287;16;13,5;13,5;6,5;6,5;8733
17/05/2021;Silo;67;14;69;5;13,5;13,5;6,5;6,5;1574,5
18/05/2021;Santa Elisa;332;200;302;16;13,5;13,5;6,5;6,5;9249
18/05/2021;Silo;89;16;68;4;13,5;13,5;6,5;6,5;1885,5
19/05/2021;Santa Elisa;336;224;303;20;13,5;13,5;6,5;6,5;9659,5
19/05/2021;Silo;87;10;79;5;13,5;13,5;6,5;6,5;1855,5
20/05/2021;Santa Elisa;333;212;296;19;13,5;13,5;6,5;6,5;9405
20/05/2021;Silo;99;19;77;6;13,5;13,5;6,5;6,5;2132,5
21/05/2021;Santa Elisa;309;197;298;17;13,5;13,5;6,5;6,5;8878,5
21/05/2021;Silo;106;9;80;5;13,5;13,5;6,5;6,5;2105
22/05/2021;Santa Elisa;294;188;276;21;13,5;13,5;6,5;6,5;8437,5
22/05/2021;Silo;77;22;61;7;13,5;13,5;6,5;6,5;1778,5
23/05/2021;Santa Elisa;241;182;213;10;13,5;13,5;6,5;6,5;7160
23/05/2021;Silo;56;20;53;6;13,5;13,5;6,5;6,5;1409,5
24/05/2021;Santa Elisa;306;207;282;20;13,5;13,5;6,5;6,5;8888,5
24/05/2021;Silo;91;21;84;9;13,5;13,5;6,5;6,5;2116,5
25/05/2021;Santa Elisa;343;228;273;18;13,5;13,5;6,5;6,5;9600
25/05/2021;Silo;101;24;73;10;13,5;13,5;6,5;6,5;2227
26/05/2021;Santa Elisa;308;215;295;21;13,5;13,5;6,5;6,5;9114,5
26/05/2021;Silo;121;27;87;6;13,5;13,5;6,5;6,5;2602,5
27/05/2021;Santa Elisa;335;223;308;21;13,5;13,5;6,5;6,5;9671,5
27/05/2021;Silo;129;35;88;7;13,5;13,5;6,5;6,5;2831,5
